Order id,order date,ship date,customer id,product id,product name,category,region,state,City,Quantity,Unit price,discount(%),Sales amount,cost price,profit,Payment Mode,Delivery status,Supplier name,Supplier email,stock left,Auto reorder,reorder quantity
ord1000,2025-09-24,2025-09-27,Cust851,prod3399,Bed,Furniture,North,Minnesota,East Nicholas,1,3974,20,3179.2,2697.29,481.91,UPI,Delivered,Randall PLC,delacruzchristopher@willis-kelley.com,46,No,0
ord1001,2025-07-19,2025-07-25,Cust578,prod2332,Laptop,Electronics,East,Iowa,Schmidtview,8,2414,0,19312.0,12536.56,6775.44,NB,Cancelled,Green-Parrish,qcarlson@williams-martinez.info,24,No,0
ord1002,2025-11-07,2025-11-10,Cust316,prod2795,Study Table,Furniture,North,Alabama,Browntown,7,2782,10,17526.6,14132.39,3394.21,Cash,Returned,Vega-Parks,trevinocurtis@thompson.net,12,No,0
ord1003,2025-05-28,2025-06-02,Cust783,prod4985,Keyboard,Electronics,West,South Carolina,New Mitchell,7,3039,5,20209.35,17616.51,2592.84,CC,Cancelled,Miranda Group,keith62@johnson.com,1,Yes,24
ord1004,2025-01-09,2025-01-11,Cust534,prod4369,Calculator,Office supplies,South,Rhode Island,Deanmouth,8,3810,5,28956.0,21148.87,7807.13,UPI,Cancelled,Padilla and Sons,meghanperry@mendoza.net,24,No,0
ord1005,2025-02-05,2025-02-09,Cust492,prod5468,Pen,Office supplies,East,Mississippi,Cohentown,2,4616,10,8308.8,5428.88,2879.92,CC,Pending,Spence-Ingram,bgreen@lewis.com,24,No,0
ord1006,2025-07-03,2025-07-09,Cust594,prod8568,Calculator,Office supplies,West,North Dakota,East Matthewfort,8,273,15,1856.4,1263.37,593.03,CC,Delivered,"Daniels, Morris and Lawson",mcfarlandpaul@rojas-smith.biz,38,No,0
ord1007,2025-10-07,2025-10-11,Cust901,prod1483,Study Table,Furniture,East,Minnesota,Lake Emmashire,2,4156,5,7896.4,7091.19,805.21,Cash,Pending,Payne-Little,carlossampson@wheeler-peterson.com,16,No,0
ord1008,2025-11-27,2025-12-02,Cust888,prod7470,Pen,Office supplies,South,Idaho,Port Kevinfurt,7,3238,10,20399.4,13751.89,6647.51,CC,Returned,Brown-Vargas,jonestodd@moore.com,26,No,0
ord1009,2025-01-24,2025-01-25,Cust670,prod6292,Study Table,Furniture,West,Nevada,New Leemouth,5,1375,15,5843.75,4107.17,1736.58,CC,Returned,Ford-Jacobs,garciajessica@johnson-walker.org,21,No,0
ord1010,2025-11-24,2025-12-01,Cust761,prod8800,Pen,Office supplies,North,Washington,West Matthewchester,6,584,0,3504.0,2816.13,687.87,UPI,Cancelled,Joseph and Sons,edwardfox@porter.com,0,Yes,46
ord1011,2025-06-13,2025-06-17,Cust286,prod1767,Study Table,Furniture,West,Pennsylvania,Port John,6,778,20,3734.4,2973.74,760.66,CC,Delivered,"Valenzuela, Harrell and Jackson",iwatson@williams.com,15,No,0
ord1012,2025-07-30,2025-08-06,Cust657,prod6068,Sugar,Grocery,East,Arizona,Lake Oliviastad,9,3063,0,27567.0,22813.62,4753.38,Cash,Returned,Summers PLC,okelly@ho-jordan.info,28,No,0
ord1013,2025-07-19,2025-07-21,Cust357,prod5428,Bookshelf,Furniture,West,Washington,Carterburgh,3,1516,5,4320.6,3627.53,693.07,UPI,Cancelled,Fuentes LLC,gonzalezjoseph@chang.com,23,No,0
ord1014,2025-09-20,2025-09-27,Cust798,prod9703,Sofa,Furniture,East,Missouri,Lake Julia,3,4951,5,14110.35,9588.71,4521.64,NB,Returned,"Wilkins, Simon and Johnson",olsonjason@nunez.com,8,Yes,25
ord1015,2025-11-13,2025-11-17,Cust107,prod7633,Bed,Furniture,East,Maryland,Lake Heatherland,5,546,10,2457.0,1810.74,646.26,NB,Pending,Barrera and Sons,erik54@williams.com,0,Yes,49
ord1016,2024-12-14,2024-12-21,Cust824,prod9807,Biscuits,Grocery,South,Kentucky,Port Katherineville,3,4650,20,11160.0,7718.44,3441.56,UPI,Returned,Lopez Ltd,jonesalicia@munoz.org,42,No,0
ord1017,2025-05-19,2025-05-20,Cust527,prod9301,Mouse,Electronics,West,West Virginia,Kristinaborough,2,4823,20,7716.8,5362.94,2353.86,CC,Cancelled,Lee-Johnson,george00@cruz.com,40,No,0
ord1018,2025-07-12,2025-07-16,Cust482,prod7368,Laptop,Electronics,West,Alaska,Powersmouth,5,169,10,760.5,566.51,193.99,Cash,Cancelled,"Patterson, Smith and Morris",aguilarjillian@white-acevedo.com,17,No,0
ord1019,2025-10-23,2025-10-28,Cust564,prod9084,Headphones,Electronics,North,Kentucky,East Gregoryfort,5,4446,15,18895.5,11818.5,7077.0,UPI,Returned,Gonzalez-Walsh,tateeric@taylor.com,37,No,0
ord1020,2025-10-05,2025-10-07,Cust545,prod8142,Bookshelf,Furniture,North,Tennessee,Suemouth,3,731,5,2083.35,1577.97,505.38,Cash,Pending,"Lowe, Cole and Guerra",emilyrichardson@holmes.com,9,Yes,28
ord1021,2025-05-20,2025-05-27,Cust895,prod8214,Headphones,Electronics,North,Ohio,Port Lynn,9,3639,10,29475.9,25096.4,4379.5,UPI,Returned,Brown LLC,mitchellmarc@woods.info,33,No,0
ord1022,2025-02-07,2025-02-11,Cust207,prod7650,Wheat,Grocery,South,Virginia,East Mark,5,4997,20,19988.0,16628.1,3359.9,NB,Delivered,"Williams, Klein and Perez",shawn26@lindsey.com,49,No,0
ord1023,2025-09-13,2025-09-17,Cust935,prod6327,Bookshelf,Furniture,South,Tennessee,New Bryan,1,644,10,579.6,481.92,97.68,Cash,Pending,"Turner, Anderson and Thompson",kristenlewis@pena-hall.org,37,No,0
ord1024,2025-01-06,2025-01-08,Cust901,prod5747,Mouse,Electronics,East,North Carolina,West Melissa,6,1066,0,6396.0,4496.47,1899.53,NB,Pending,Santos-Jackson,ilane@johnson-jones.com,21,No,0
ord1025,2025-05-17,2025-05-21,Cust218,prod4480,Laptop,Electronics,North,Florida,Sarahberg,10,1139,15,9681.5,6656.64,3024.86,Cash,Delivered,Page Ltd,hernandezyesenia@klein-henry.biz,38,No,0
ord1026,2025-07-06,2025-07-08,Cust830,prod8738,Bookshelf,Furniture,East,Connecticut,Elizabethberg,1,566,5,537.7,384.75,152.95,NB,Returned,"Martinez, Murphy and Rodriguez",davidchang@smith-huber.com,19,No,0
ord1027,2025-07-14,2025-07-19,Cust414,prod1052,Sofa,Furniture,West,New Hampshire,Briggsville,10,1615,20,12920.0,11397.34,1522.66,Cash,Pending,Smith-Hahn,timothy58@davis-estes.com,47,No,0
ord1028,2025-11-10,2025-11-11,Cust134,prod4127,Rice bag,Grocery,North,Arkansas,Ellisshire,1,4965,10,4468.5,3203.66,1264.84,UPI,Pending,"Conner, Ruiz and Chapman",donald32@medina.com,15,No,0
ord1029,2024-12-30,2025-01-03,Cust974,prod5087,Office chair,Furniture,North,Alabama,New Jennifer,4,2675,0,10700.0,9508.42,1191.58,NB,Pending,Butler Inc,jsullivan@anderson.com,39,No,0
ord1030,2025-01-29,2025-02-05,Cust221,prod6741,Biscuits,Grocery,East,Alabama,Johnsonland,8,925,10,6660.0,5645.46,1014.54,Cash,Cancelled,Wilkerson Group,jhall@harrison.com,37,No,0
ord1031,2024-12-22,2024-12-27,Cust303,prod1042,Mouse,Electronics,West,South Dakota,Bennettborough,7,4991,0,34937.0,30043.78,4893.22,NB,Returned,"Carter, Frank and Baker",johnwright@butler.info,37,No,0
ord1032,2025-05-07,2025-05-11,Cust793,prod2456,Office chair,Furniture,West,Massachusetts,Whiteberg,1,3537,0,3537.0,2213.6,1323.4,UPI,Cancelled,"Taylor, Brown and Green",jameshart@sutton.org,1,Yes,33
ord1033,2025-09-23,2025-09-28,Cust260,prod6397,Pen,Office supplies,South,New Jersey,Chavezfurt,7,2975,0,20825.0,17995.13,2829.87,CC,Cancelled,"Cordova, Bowman and Mendoza",shepardleon@dixon.com,7,Yes,25
ord1034,2025-01-25,2025-01-27,Cust375,prod7775,Biscuits,Grocery,North,Kansas,Tammyhaven,3,723,0,2169.0,1580.52,588.48,UPI,Delivered,"Martinez, Walter and Patel",ricardo77@smith.biz,6,Yes,38
ord1035,2025-10-02,2025-10-09,Cust263,prod1652,Headphones,Electronics,West,Maine,North Mary,5,4564,0,22820.0,15804.83,7015.17,CC,Returned,"Casey, Jones and Morris",porterholly@ward-oneill.org,45,No,0
ord1036,2025-11-21,2025-11-25,Cust696,prod9925,Calculator,Office supplies,South,Missouri,Tylerview,7,1758,5,11690.7,8813.22,2877.48,CC,Delivered,Morris-Brown,kristinlowe@shannon.info,1,Yes,50
ord1037,2025-11-17,2025-11-23,Cust555,prod5694,Monitor,Electronics,West,Maine,Martinezville,8,107,0,856.0,657.03,198.97,Cash,Returned,"Evans, House and Jones",joshuacoffey@reed-bell.com,6,Yes,28
ord1038,2025-03-19,2025-03-24,Cust697,prod5097,Sugar,Grocery,North,Connecticut,New Davidfurt,4,1834,10,6602.4,5395.33,1207.07,CC,Pending,Hanson-Zimmerman,mariadelgado@schwartz.biz,21,No,0
ord1039,2024-12-10,2024-12-14,Cust105,prod2219,Stapler,Office supplies,East,Nebraska,Sarahview,1,1288,0,1288.0,893.2,394.8,UPI,Returned,Turner-Wallace,stevencampbell@alexander.com,46,No,0
ord1040,2025-03-22,2025-03-24,Cust108,prod2674,Stapler,Office supplies,East,New Mexico,Bergview,6,1426,15,7272.6,4400.15,2872.45,Cash,Pending,"Malone, Mitchell and Bennett",beth09@davis.com,27,No,0
ord1041,2025-04-02,2025-04-04,Cust289,prod9550,Mouse,Electronics,West,South Dakota,Johnburgh,6,519,15,2646.9,1593.53,1053.37,CC,Cancelled,Reynolds LLC,kimcynthia@cabrera.org,41,No,0
ord1042,2025-07-09,2025-07-13,Cust393,prod6065,Office chair,Furniture,West,Vermont,Wilsonton,7,1114,0,7798.0,5979.58,1818.42,Cash,Returned,"Perez, Lloyd and Mcdonald",luke93@duffy.com,11,No,0
ord1043,2025-01-02,2025-01-05,Cust273,prod2967,Laptop,Electronics,West,Idaho,Shariland,5,4293,10,19318.5,13244.25,6074.25,Cash,Pending,Cherry PLC,andersonapril@webster.biz,15,No,0
ord1044,2025-08-03,2025-08-05,Cust786,prod7546,Laptop,Electronics,North,South Carolina,Stacyfurt,5,1486,0,7430.0,5259.86,2170.14,Cash,Returned,"Sanchez, Gutierrez and Hughes",donna80@lynch.com,2,Yes,41
ord1045,2025-03-06,2025-03-10,Cust569,prod4411,Headphones,Electronics,North,Massachusetts,Alexandermouth,3,3002,5,8555.7,7444.86,1110.84,UPI,Returned,Frazier Inc,jonanderson@thompson.biz,38,No,0
ord1046,2025-04-21,2025-04-22,Cust663,prod8723,Notebook,Office supplies,North,Mississippi,Vincentbury,1,3860,5,3667.0,2926.66,740.34,UPI,Cancelled,Gonzalez-Klein,tracycarter@george.com,22,No,0
ord1047,2025-01-10,2025-01-15,Cust376,prod2706,Pen,Office supplies,South,Arkansas,Ashleyhaven,8,1274,20,8153.6,6790.08,1363.52,UPI,Delivered,"Joseph, Garcia and Leblanc",smoore@sanchez.com,13,No,0
ord1048,2025-03-17,2025-03-24,Cust313,prod3226,Mouse,Electronics,West,Maine,Deanville,2,2608,0,5216.0,4581.78,634.22,UPI,Pending,"Evans, Ballard and Carter",turnerchristine@smith-morton.info,39,No,0
ord1049,2025-02-26,2025-03-02,Cust764,prod8629,Monitor,Electronics,East,Arizona,West Rachel,4,1868,20,5977.6,4757.0,1220.6,CC,Returned,Ayala and Sons,dorothy72@reese.org,35,No,0
ord1050,2025-05-02,2025-05-05,Cust605,prod4158,Calculator,Office supplies,South,Arizona,Sanchezhaven,3,1523,5,4340.55,2925.74,1414.81,UPI,Delivered,Wall and Sons,williamsray@jones-goodman.com,45,No,0
